word_segment,instances,prominence
འི་,25,4.621072088724584
ར་,15,2.7726432532347505
དང་,11,2.033271719038817
ཀྱི་,11,2.033271719038817
སྨོན་ལམ་,10,1.8484288354898337
ནས་,10,1.8484288354898337
ས་,9,1.6635859519408502
ཆོ་འཕྲུལ་,8,1.478743068391867
ནང་,7,1.2939001848428837
ཆོས་,7,1.2939001848428837
ལ་,7,1.2939001848428837
དུ་,7,1.2939001848428837
དུས་ཆེན་,6,1.1090573012939002
སྐབས་,5,0.9242144177449169
རྣམས་,5,0.9242144177449169
ཀྱིས་,5,0.9242144177449169
མེད་,5,0.9242144177449169
གྱི་,4,0.7393715341959335
ལ,4,0.7393715341959335
གསུམ་,4,0.7393715341959335
གྱིས་,4,0.7393715341959335
སོགས་,4,0.7393715341959335
ཚེས་,4,0.7393715341959335
ཆོས་རྒྱལ་,4,0.7393715341959335
གནང་,4,0.7393715341959335
སྲོལ་,4,0.7393715341959335
བོད་,4,0.7393715341959335
མི་,3,0.5545286506469501
ཕྱག་,3,0.5545286506469501
ལོ,3,0.5545286506469501
ཞེས་,3,0.5545286506469501
ཁྱད་པར་ཅན་,3,0.5545286506469501
རིམ་བྱོན་,3,0.5545286506469501
ཀྱང་,3,0.5545286506469501
ཡོད,3,0.5545286506469501
འཚོགས་,3,0.5545286506469501
གནས་,3,0.5545286506469501
མང་,3,0.5545286506469501
/,3,0.5545286506469501
བྱུང་,2,0.36968576709796674
ན་,2,0.36968576709796674
ཆེན་པོ་,2,0.36968576709796674
འགྲོ་བ་,2,0.36968576709796674
དེ,2,0.36968576709796674
བསྟན་པ་,2,0.36968576709796674
ལྟར,2,0.36968576709796674
རྒྱ་གར་,2,0.36968576709796674
སྟོན་པ་,2,0.36968576709796674
ཐུབ་པ་,2,0.36968576709796674
མཛད་པ,2,0.36968576709796674
དུས་,2,0.36968576709796674
དེ་,2,0.36968576709796674
འབོད,2,0.36968576709796674
དེ་ནས་,2,0.36968576709796674
བཟུང་,2,0.36968576709796674
འདི,2,0.36968576709796674
མཆོད་འབུལ་,2,0.36968576709796674
སྲུང་བརྩི་,2,0.36968576709796674
ཆེན་,2,0.36968576709796674
ཐོག་མ,2,0.36968576709796674
སྲོང་,2,0.36968576709796674
བཙན་,2,0.36968576709796674
སུ་,2,0.36968576709796674
ཁྲི་,2,0.36968576709796674
གདན་,2,0.36968576709796674
ནས,2,0.36968576709796674
བཅོ་ལྔ,2,0.36968576709796674
བར་,2,0.36968576709796674
ལྟར་,2,0.36968576709796674
ཆོས་བརྒྱུད་,2,0.36968576709796674
རིས་,2,0.36968576709796674
ཁག་,2,0.36968576709796674
ཡོད་,2,0.36968576709796674
དར་ཁྱབ་,2,0.36968576709796674
ཆེན་པོ,2,0.36968576709796674
ཕྱི་ལོ་,2,0.36968576709796674
སྐུ་ཕྲེང་,2,0.36968576709796674
དགེ་འདུན་,2,0.36968576709796674
ཐོག་,2,0.36968576709796674
དབུ་,2,0.36968576709796674
བཞུགས་,2,0.36968576709796674
དགེ་,2,0.36968576709796674
བྷ,2,0.36968576709796674
ེལ་,2,0.36968576709796674
ཇམ་,2,0.36968576709796674
༢༠༢༢,2,0.36968576709796674
བོད་རིགས་,2,0.36968576709796674
ཞིང་,2,0.36968576709796674
ལོ་,2,0.36968576709796674
རིགས་,2,0.36968576709796674
སེམས་,2,0.36968576709796674
ཇེ་,2,0.36968576709796674
རིམ,1,0.18484288354898337
དེ་ཡང་,1,0.18484288354898337
ཐུབ་པ,1,0.18484288354898337
བསྟོད་པ་,1,0.18484288354898337
ས,1,0.18484288354898337
སྲིད་པ་,1,0.18484288354898337
དཔེ་མེད་,1,0.18484288354898337
ཡོན་ཏན་,1,0.18484288354898337
གྱིས,1,0.18484288354898337
གཉན་,1,0.18484288354898337
དུ་ཡོད་པ,1,0.18484288354898337
བསྟན,1,0.18484288354898337
ལྷ་,1,0.18484288354898337
ཀུན་,1,0.18484288354898337
རབ་,1,0.18484288354898337
མཆོད་,1,0.18484288354898337
རྒྱས་པ,1,0.18484288354898337
མཛད་,1,0.18484288354898337
འཚལ་,1,0.18484288354898337
འབྱུང་བ་,1,0.18484288354898337
འཕགས་པ,1,0.18484288354898337
ཡུལ་,1,0.18484288354898337
ཤཱཀྱ་,1,0.18484288354898337
ཞལ་བཞུགས་,1,0.18484288354898337
མཉན་ཡོད་,1,0.18484288354898337
མུ་སྟེགས་པ,1,0.18484288354898337
རྫོགས་བྱེད་,1,0.18484288354898337
དང༌,1,0.18484288354898337
གནག་,1,0.18484288354898337
སྐྱེས,1,0.18484288354898337
རྒྱལ་བ་,1,0.18484288354898337
ཅན,1,0.18484288354898337
གཉེན་,1,0.18484288354898337
བུ,1,0.18484288354898337
ནོག་ཅན,1,0.18484288354898337
སྐྲ,1,0.18484288354898337
ལ་བ་,1,0.18484288354898337
ཅན་,1,0.18484288354898337
འཁོར་,1,0.18484288354898337
བཅས་པ་,1,0.18484288354898337
རྩོད་པ་,1,0.18484288354898337
ཕམ་པ,1,0.18484288354898337
རྒྱ་,1,0.18484288354898337
ཆེ,1,0.18484288354898337
ཞུ་,1,0.18484288354898337
དར,1,0.18484288354898337
མོ་,1,0.18484288354898337
དར་,1,0.18484288354898337
ཚུལ་,1,0.18484288354898337
ནི,1,0.18484288354898337
སྒམ་པོ,1,0.18484288354898337
སངས་རྒྱས་,1,0.18484288354898337
བསྟན་པ,1,0.18484288354898337
བཏོད,1,0.18484288354898337
ལྡེ་,1,0.18484288354898337
མཁན་སློབ་,1,0.18484288354898337
དྲངས་,1,0.18484288354898337
ཏེ་མདོ་སྔགས་,1,0.18484288354898337
དངོས་གཞི་,1,0.18484288354898337
ཚུགས་,1,0.18484288354898337
བྱུང་བ་,1,0.18484288354898337
འདི་ཉིད་,1,0.18484288354898337
བོད་ལུགས་,1,0.18484288354898337
ཟླ་,1,0.18484288354898337
དང་བོ,1,0.18484288354898337
གཅིག་,1,0.18484288354898337
འཁེལ་,1,0.18484288354898337
ཡོད་པ་,1,0.18484288354898337
གདན་ས་,1,0.18484288354898337
ཏུ་,1,0.18484288354898337
ཞུ་བ,1,0.18484288354898337
གཅིག་གྱུར་,1,0.18484288354898337
མ་,1,0.18484288354898337
སྙམ,1,0.18484288354898337
འཇམ་མགོན་,1,0.18484288354898337
བླ་མ་,1,0.18484288354898337
ཙོང་,1,0.18484288354898337
ཁ་པ་,1,0.18484288354898337
༡༤༠༩,1,0.18484288354898337
ལྷ་ལྡན་,1,0.18484288354898337
གཙུག་ལག་ཁང་,1,0.18484288354898337
མོ,1,0.18484288354898337
གས,1,0.18484288354898337
འཛུགས་,1,0.18484288354898337
མཛད,1,0.18484288354898337
མཆོད་པ་,1,0.18484288354898337
རྒྱལ་མཆོག་,1,0.18484288354898337
༸རྒྱལ་བ་,1,0.18484288354898337
རྒྱ་མཚོ,1,0.18484288354898337
ལོ་རྒྱུས་,1,0.18484288354898337
༸རྒྱལ་,1,0.18484288354898337
མཆོག་,1,0.18484288354898337
ལྔ་པ་,1,0.18484288354898337
དགའ་ལྡན་,1,0.18484288354898337
ཕོ་བྲང་,1,0.18484288354898337
བརྙེས་པ་,1,0.18484288354898337
སྦྱིན་བདག་,1,0.18484288354898337
གཞུང་,1,0.18484288354898337
རང་,1,0.18484288354898337
ཞལ་གྲངས་,1,0.18484288354898337
གཉིས་,1,0.18484288354898337
འཛོམས་,1,0.18484288354898337
རྗེས་སོར་,1,0.18484288354898337
རིམ་པ,1,0.18484288354898337
བཀའ་,1,0.18484288354898337
རྙིང་,1,0.18484288354898337
སོ་སོ,1,0.18484288354898337
འདི་,1,0.18484288354898337
བསྟུན་,1,0.18484288354898337
གནས་མཆོག་,1,0.18484288354898337
རྡོར་,1,0.18484288354898337
ལྟ་བུ,1,0.18484288354898337
འདུས་,1,0.18484288354898337
མཉམ་འཛོམས་,1,0.18484288354898337
སྨོན་,1,0.18484288354898337
འགྲོ་བ,1,0.18484288354898337
བསོད་ནམས་,1,0.18484288354898337
ཞིང་ས་,1,0.18484288354898337
བླ་,1,0.18484288354898337
མེད་པ་,1,0.18484288354898337
མཐོང་ཆོས་,1,0.18484288354898337
ལགས་,1,0.18484288354898337
ཤིང་,1,0.18484288354898337
བརྟེན་,1,0.18484288354898337
གཞི་,1,0.18484288354898337
བྱས་པ,1,0.18484288354898337
ཉག་,1,0.18484288354898337
དཔལ་,1,0.18484288354898337
སྤྲུལ་པ,1,0.18484288354898337
ཚོགས་,1,0.18484288354898337
འོག་མིན་,1,0.18484288354898337
གྲོང་ཁྱེར་,1,0.18484288354898337
དུ,1,0.18484288354898337
༡༩,1,0.18484288354898337
ཉིན་,1,0.18484288354898337
རིང་,1,0.18484288354898337
འཚོག་,1,0.18484288354898337
ཆེད་སྐྱ་སེར་,1,0.18484288354898337
ཕོ་མོ་,1,0.18484288354898337
དབྱེ,1,0.18484288354898337
ཞལ་ལག,1,0.18484288354898337
རིན་,1,0.18484288354898337
འབུལ་,1,0.18484288354898337
ཐབས་,1,0.18484288354898337
དགོས་པ,1,0.18484288354898337
དམིགས་ཡུལ་,1,0.18484288354898337
ཡང་,1,0.18484288354898337
འདི་ག,1,0.18484288354898337
གཙོ་བོ,1,0.18484288354898337
གྱུར་པ,1,0.18484288354898337
ཕྱི་,1,0.18484288354898337
ཡུལ་གྲུ་,1,0.18484288354898337
གི་,1,0.18484288354898337
ནང་པ་,1,0.18484288354898337
ནད་ཡམས་,1,0.18484288354898337
དམགས་,1,0.18484288354898337
འཁྲུགས,1,0.18484288354898337
མུ་གེ་,1,0.18484288354898337
ཞི་,1,0.18484288354898337
ཆར་ཆུ་,1,0.18484288354898337
དུས་བབ,1,0.18484288354898337
ཕྱུག་,1,0.18484288354898337
རྟག་,1,0.18484288354898337
ལེགས,1,0.18484288354898337
གོ་ལ,1,0.18484288354898337
ཁྱོན་,1,0.18484288354898337
ཡོངས་,1,0.18484288354898337
མི,1,0.18484288354898337
མཐའ་དག་,1,0.18484288354898337
ལུས་,1,0.18484288354898337
བདེ་,1,0.18484288354898337
སྐྱིད་,1,0.18484288354898337
ངང་,1,0.18484288354898337
འཛམ་གླིང་,1,0.18484288354898337
ཞི་བདེ་,1,0.18484288354898337
ཡོང་བ,1,0.18484288354898337
འདེབས་,1,0.18484288354898337
དགོས་པ་,1,0.18484288354898337
གལ་ཆེ་བ་,1,0.18484288354898337
རྒྱལ་ཁབ་,1,0.18484288354898337
ཉུང་བ་,1,0.18484288354898337
སྡོད་,1,0.18484288354898337
བྱེད་,1,0.18484288354898337
མུས་,1,0.18484288354898337
རྒན་,1,0.18484288354898337
འགྲོ་,1,0.18484288354898337
རྒྱུ,1,0.18484288354898337
སྨོས་མེད་,1,0.18484288354898337
གནས་ཚུལ་,1,0.18484288354898337
ལོ་ལྟར་,1,0.18484288354898337
ཕེབས་,1,0.18484288354898337
འདུན་,1,0.18484288354898337
གིས་,1,0.18484288354898337
མི་རིགས་,1,0.18484288354898337
ཁམས་,1,0.18484288354898337
ཕུགས་,1,0.18484288354898337
ཕན་,1,0.18484288354898337
ལྡན་པ,1,0.18484288354898337
དགེ་མཚན་,1,0.18484288354898337
ཡོང་,1,0.18484288354898337
ཆེད་,1,0.18484288354898337
དམིགས་པ་,1,0.18484288354898337
ཡིན,1,0.18484288354898337
༡༠,1,0.18484288354898337
༡,1,0.18484288354898337
ཉིན,1,0.18484288354898337
